IL	il	Estimate	std_error	df	t_value	p_value	trait
IL09.1.3	9.1.3	0.544579714	0.255312169	126.9985633	2.13299553	0.03484901	iso_CPI
IL09.2	9.2	0.351908688	0.255312169	126.9985633	1.378346711	0.170519645	iso_CPI
IL09.2.5	9.2.5	0.434828678	0.255312169	126.9985633	1.703125553	0.090990636	iso_CPI
IL09.2.6	9.2.6	0.230108743	0.255312169	126.9985633	0.901283884	0.369143445	iso_CPI
IL09.3	9.3	0.302945897	0.255312169	126.9985633	1.186570536	0.237612037	iso_CPI
IL09.3.1	9.3.1	0.095843754	0.255312169	126.9985633	0.375398301	0.707990516	iso_CPI
IL09.3.2	9.3.2	0.251688692	0.255312169	126.9985633	0.985807661	0.326101913	iso_CPI
IL01.1	1.1	-0.005454256	0.027616918	126.9951847	-0.19749692	0.843754451	mindex
IL01.1.2	1.1.2	0.075081248	0.027616918	126.9951847	2.718668558	0.007471461	mindex
IL01.1.3	1.1.3	0.110347229	0.039197495	127.1011791	2.815160254	0.005652639	mindex
IL01.2	1.2	-0.00534581	0.027616918	126.9951847	-0.193570106	0.84682177	mindex
