"X1" "X2" "value" "BH" "X1" "X2" "value"
"170" "i31.n31" "i33.n33" 1.26343380202343e-12 1.6845784026979e-11 "i31.n31" "i33.n33" 0.717982649803162
"171" "i33.n33" "i33.n33" NA NA "i33.n33" "i33.n33" 1
"172" "nalk_ACL" "i33.n33" 0.378320473268618 0.57456722402484 "nalk_ACL" "i33.n33" 0.105381086468697
"173" "nalk_CPI" "i33.n33" 0.482583679848161 0.673372576532318 "nalk_CPI" "i33.n33" -0.0840742811560631
"174" "pct_iso" "i33.n33" 0.116015162282606 0.217528429279885 "pct_iso" "i33.n33" -0.186863899230957
"175" "pct_anteiso" "i33.n33" 0.00133978690408831 0.00518627188679347 "pct_anteiso" "i33.n33" -0.370897978544235
"176" "Sum_Alk.area" "i33.n33" 0.199211553766894 0.33669558383137 "Sum_Alk.area" "i33.n33" -0.15308304131031
"177" "anteiso_ACL" "nalk_ACL" 6.41999953532313e-06 6.41999953532313e-05 "anteiso_ACL" "nalk_ACL" 0.503867566585541
"178" "anteiso_CPI" "nalk_ACL" 0.6161852250195 0.795077709702581 "anteiso_CPI" "nalk_ACL" 0.0600725077092648
"179" "eps13C_i.C31" "nalk_ACL" 0.0944086119113217 0.185909006786583 "eps13C_i.C31" "nalk_ACL" -0.198623210191727
"180" "eps13C_i.C33" "nalk_ACL" 0.238927526409337 0.387450042825952 "eps13C_i.C33" "nalk_ACL" -0.140559643507004
"181" "eps13C_n.C31" "nalk_ACL" 0.706451738114863 0.831119691899839 "eps13C_n.C31" "nalk_ACL" -0.045153371989727
"182" "eps13C_n.C33" "nalk_ACL" 0.842077221553087 0.930954975325144 "eps13C_n.C33" "nalk_ACL" 0.0238951779901981
"183" "iso_ACL" "nalk_ACL" 0 0 "iso_ACL" "nalk_ACL" 0.818992674350739
"184" "iso_CPI" "nalk_ACL" 0.95000941686728 0.982768362276497 "iso_CPI" "nalk_ACL" -0.00752018298953772
"185" "mindex" "nalk_ACL" 0.0344074132438639 0.0842630528421156 "mindex" "nalk_ACL" -0.249692991375923
"186" "i31.n31" "nalk_ACL" 0.0497602601895106 0.114831369668101 "i31.n31" "nalk_ACL" 0.232119888067245
"187" "i33.n33" "nalk_ACL" 0.378320473268618 0.57456722402484 "i33.n33" "nalk_ACL" 0.105381086468697
"188" "nalk_ACL" "nalk_ACL" NA NA "nalk_ACL" "nalk_ACL" 1
"189" "nalk_CPI" "nalk_ACL" 0.861144952851173 0.939430857655825 "nalk_CPI" "nalk_ACL" 0.0209790505468845
"190" "pct_iso" "nalk_ACL" 0.605073635862464 0.789226481559736 "pct_iso" "nalk_ACL" -0.0619688890874386
"191" "pct_anteiso" "nalk_ACL" 0.00845363772186358 0.0247423543078934 "pct_anteiso" "nalk_ACL" -0.308149993419647
"192" "Sum_Alk.area" "nalk_ACL" 0.765425875916025 0.874772429618314 "Sum_Alk.area" "nalk_ACL" -0.0357773527503014
"193" "anteiso_ACL" "nalk_CPI" 0.0488586815221659 0.114831369668101 "anteiso_ACL" "nalk_CPI" 0.233017608523369
"194" "anteiso_CPI" "nalk_CPI" 0.402214061393313 0.588605943502409 "anteiso_CPI" "nalk_CPI" 0.10022596269846
"195" "eps13C_i.C31" "nalk_CPI" 0.49929458006092 0.680856245537618 "eps13C_i.C31" "nalk_CPI" -0.0809055268764496
"196" "eps13C_i.C33" "nalk_CPI" 0.926095181037682 0.974837032671244 "eps13C_i.C33" "nalk_CPI" 0.0111261177808046
"197" "eps13C_n.C31" "nalk_CPI" 0.699117404687472 0.830634540222739 "eps13C_n.C31" "nalk_CPI" -0.0463373847305775
"198" "eps13C_n.C33" "nalk_CPI" 0.684715730692792 0.82165887683135 "eps13C_n.C33" "nalk_CPI" 0.0486753769218922
"199" "iso_ACL" "nalk_CPI" 0.554501499099336 0.747642470695733 "iso_ACL" "nalk_CPI" -0.0708050280809402
"200" "iso_CPI" "nalk_CPI" 0.148757635491261 0.266431585954498 "iso_CPI" "nalk_CPI" 0.171908155083656
"201" "mindex" "nalk_CPI" 0.000155928947151995 0.00103952631434664 "mindex" "nalk_CPI" -0.431200414896011
"202" "i31.n31" "nalk_CPI" 0.878045220265254 0.940762735998487 "i31.n31" "nalk_CPI" -0.0184045657515526
"203" "i33.n33" "nalk_CPI" 0.482583679848161 0.673372576532318 "i33.n33" "nalk_CPI" -0.0840742811560631
"204" "nalk_ACL" "nalk_CPI" 0.861144952851173 0.939430857655825 "nalk_ACL" "nalk_CPI" 0.0209790505468845
"205" "nalk_CPI" "nalk_CPI" NA NA "nalk_CPI" "nalk_CPI" 1
"206" "pct_iso" "nalk_CPI" 0.00131375188523974 0.00518627188679347 "pct_iso" "nalk_CPI" -0.371502995491028
"207" "pct_anteiso" "nalk_CPI" 0.000544249413165998 0.00283956215564869 "pct_anteiso" "nalk_CPI" -0.397549688816071
"208" "Sum_Alk.area" "nalk_CPI" 0.000111005808697051 0.000832543565227883 "Sum_Alk.area" "nalk_CPI" 0.439771056175232
"209" "anteiso_ACL" "pct_iso" 0.741283721186157 0.863631519828533 "anteiso_ACL" "pct_iso" -0.0395865701138973
"210" "anteiso_CPI" "pct_iso" 0.419424474693969 0.599177820991384 "anteiso_CPI" "pct_iso" -0.0966234877705574
"211" "eps13C_i.C31" "pct_iso" 0.00124807851320741 0.00516446281327203 "eps13C_i.C31" "pct_iso" 0.373078644275665
"212" "eps13C_i.C33" "pct_iso" 0.0019445617649092 0.00686315917026777 "eps13C_i.C33" "pct_iso" 0.359187096357346
"213" "eps13C_n.C31" "pct_iso" 0.0103495595967258 0.0288824918978394 "eps13C_n.C31" "pct_iso" 0.30040517449379
"214" "eps13C_n.C33" "pct_iso" 0.0395535734514127 0.0949285762833906 "eps13C_n.C33" "pct_iso" -0.243183925747871
"215" "iso_ACL" "pct_iso" 0.0837963716588086 0.173371803432018 "iso_ACL" "pct_iso" -0.205189764499664
"216" "iso_CPI" "pct_iso" 0.000356748848901134 0.0021404930934068 "iso_CPI" "pct_iso" 0.409318923950195
