il	anteiso_ACL	anteiso_CPI	eps13C_i.C31	eps13C_i.C33	eps13C_n.C31	eps13C_n.C33	iso_ACL	iso_CPI	mindex	i31.n31	i33.n33	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso	Sum_Alk.area
ilIL_8.1.3	-0.148158298	-0.185734865	0.024917947	0.218904391	0.027831445	-2.182899635	-0.000735531	-0.392062535	0.030072255	0.248174085	0.161820446	0.000582366	0.006136015	0.111598119	0.142032952	-2.051983848
IL8.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_8.2.1	-0.033333333	0.026666667	0.016927371	0.193351184	0.015618313	-1.433333333	-0.002109504	0.083593112	0.02414838	-0.166666667	-0.070100441	-0.00070133	0.035778871	0.108941168	0.062197243	-0.011127695
ilIL_8.3	-0.066666667	-0.003333333	0.00302689	-0.004281544	0.001676078	-0.233333333	-0.001054939	0.505550586	-0.017493623	-0.166666667	0.127842215	3.72E-15	0.12138217	-0.091851153	-0.108490657	-0.692526067
ilIL_8.3.1	-0.066666667	-0.003333333	0.028104294	0.28711093	0.034324555	-3.3	-0.001406337	0.384168393	0.033522104	0.566666667	0.31592127	-0.000350908	0.034162197	0.105938467	0.156685517	-0.999574449
ilIL_9.1	-0.066666667	-0.016666667	0.013858863	0.134059249	0.010502181	-0.866666667	-0.001054691	0.225594148	0.041055256	-0.366666667	-0.08912878	0.000351029	0.084413506	0.218012244	0.114464742	-0.628190497
ilIL_9.1.2	-0.033333333	0.013333333	0.013877394	0.217717951	0.017314288	-1.566666667	-0.001757858	0.29238633	-0.000538362	0.333333333	-0.127382915	3.72E-15	0.085400545	0.019593111	-0.060074201	-0.59550404
ilIL_9.1.3	-0.1	-0.156666667	0.0298101	0.377289799	0.036059264	-3.366666667	0.000351646	0.544579714	0.011004646	0.566666667	0.054178648	0.001404362	0.017818647	0.268097426	-0.267116061	-1.57552915
ilIL_9.2	-1.13E-12	0.063333333	0.016224666	0.217695049	0.022730755	-2.066666667	0.000351646	0.351908688	-0.040501807	0.566666667	0.122921994	0.000702181	0.077764048	-0.116453477	-0.319171321	-0.055776037
ilIL_9.2.5	-1.13E-12	7.84E-15	0.012866771	0.191662279	0.013229782	-1.233333333	2.49E-07	0.434828678	-0.036659204	5.87E-14	-0.211391141	0.000702181	0.116228494	-0.172540039	-0.239217132	-0.40773746
ilIL_9.2.6	-0.033333333	-0.033333333	0.01035796	0.170111143	0.013044798	-1.108550183	-0.001406337	0.230108743	0.0269558	0.225912957	-0.088212362	0.000351029	0.02906824	0.021810143	0.210151962	-0.45400997
ilIL_9.3	-0.133333333	0.053333333	0.025419228	0.306849815	0.026189488	-2.766666667	-0.001757858	0.302945897	-0.023999542	0.066666667	0.044470332	-0.001052845	0.049204547	-0.116862692	-0.140029349	-0.499298469
ilIL_9.3.1	-0.066666667	-0.063333333	0.029454752	0.350078102	0.03466443	-3.4	-0.002460779	0.095843754	0.019433391	0.466666667	0.2053575	-0.001754296	-0.008161624	-0.025340883	0.147518407	-0.404407323
ilIL_9.3.2	-0.066666667	-0.06	0.010808246	0.113703729	0.002013185	-0.433333333	-0.001054939	0.251688692	0.064179365	-0.866666667	-0.234266998	1.22E-07	0.000722714	-0.01021225	0.496663856	-0.192685892
