trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
pct_anteiso.alkanes	n31.i31	03.pct_anteiso.alkanes	15.n31.i31	0.66099359	0.770200324	NA	NA
n31.i31	pct_anteiso.alkanes	15.n31.i31	03.pct_anteiso.alkanes	0.66099359	0.770200324	NA	NA
eps13C_i.C33	Sum_Alk.area	14.eps13C_i.C33	10.Sum_Alk.area	0.661088611	0.770200324	NA	NA
eps13C_i.C31	anteiso_ACL	13.eps13C_i.C31	05.anteiso_ACL	0.719995065	0.792655117	NA	NA
anteiso_ACL	eps13C_i.C31	05.anteiso_ACL	13.eps13C_i.C31	0.719995065	0.792655117	NA	NA
n33.i33	eps13C_i.C33	16.n33.i33	14.eps13C_i.C33	0.701538091	0.792655117	NA	NA
iso_ACL	eps13C_i.C33	07.iso_ACL	14.eps13C_i.C33	0.709971728	0.792655117	NA	NA
eps13C_i.C33	iso_ACL	14.eps13C_i.C33	07.iso_ACL	0.709971728	0.792655117	NA	NA
n31.i31	iso_CPI	15.n31.i31	08.iso_CPI	0.693632659	0.792655117	NA	NA
n31.i31	Methyl_Index	15.n31.i31	04.Methyl_Index	0.718501533	0.792655117	NA	NA
Methyl_Index	n31.i31	04.Methyl_Index	15.n31.i31	0.718501533	0.792655117	NA	NA
iso_CPI	n31.i31	08.iso_CPI	15.n31.i31	0.693632659	0.792655117	NA	NA
pct_iso.alkanes	n31.i31	02.pct_iso.alkanes	15.n31.i31	0.696361421	0.792655117	NA	NA
eps13C_i.C33	n33.i33	14.eps13C_i.C33	16.n33.i33	0.701538091	0.792655117	NA	NA
n31.i31	pct_iso.alkanes	15.n31.i31	02.pct_iso.alkanes	0.696361421	0.792655117	NA	NA
n33.i33	anteiso_ACL	16.n33.i33	05.anteiso_ACL	0.739510601	0.79947092	NA	NA
iso_ACL	eps13C_n.C31	07.iso_ACL	11.eps13C_n.C31	0.737564381	0.79947092	NA	NA
