trait1	trait2	r.value	ord.trait1	ord.trait2
pct_anteiso.alkanes	n.alkane_CPI	-0.449993938	03.pct_anteiso.alkanes	01.n.alkane_CPI
eps13C_n.C31	n.alkane_CPI	-0.090531237	11.eps13C_n.C31	01.n.alkane_CPI
anteiso_ACL	n.alkane_CPI	0.208718017	05.anteiso_ACL	01.n.alkane_CPI
n.alkane_ACL	n.alkane_CPI	0.107665919	06.n.alkane_ACL	01.n.alkane_CPI
Sum_Alk.area	n.alkane_CPI	0.162535638	10.Sum_Alk.area	01.n.alkane_CPI
eps13C_n.C33	n31.i31	-0.472236246	12.eps13C_n.C33	15.n31.i31
n31.i31	n31.i31	1	15.n31.i31	15.n31.i31
n33.i33	n31.i31	0.625666022	16.n33.i33	15.n31.i31
Methyl_Index	n31.i31	-0.026043592	04.Methyl_Index	15.n31.i31
iso_CPI	n31.i31	0.028460728	08.iso_CPI	15.n31.i31
anteiso_CPI	n31.i31	0.149520367	09.anteiso_CPI	15.n31.i31
n.alkane_CPI	n31.i31	0.078725457	01.n.alkane_CPI	15.n31.i31
pct_iso.alkanes	n31.i31	-0.028194005	02.pct_iso.alkanes	15.n31.i31
eps13C_i.C31	n31.i31	-0.221012846	13.eps13C_i.C31	15.n31.i31
pct_anteiso.alkanes	n31.i31	-0.031682305	03.pct_anteiso.alkanes	15.n31.i31
n.alkane_ACL	n31.i31	-0.002407929	06.n.alkane_ACL	15.n31.i31
Sum_Alk.area	n31.i31	0.10547065	10.Sum_Alk.area	15.n31.i31
eps13C_n.C31	n31.i31	-0.510467231	11.eps13C_n.C31	15.n31.i31
iso_ACL	n31.i31	0.052600518	07.iso_ACL	15.n31.i31
eps13C_i.C33	n31.i31	-0.270352334	14.eps13C_i.C33	15.n31.i31
anteiso_ACL	n31.i31	-0.017162258	05.anteiso_ACL	15.n31.i31
eps13C_i.C31	n33.i33	-0.117677666	13.eps13C_i.C31	16.n33.i33
iso_CPI	n33.i33	-0.037856996	08.iso_CPI	16.n33.i33
n31.i31	n33.i33	0.625666022	15.n31.i31	16.n33.i33
pct_anteiso.alkanes	n33.i33	0.040480632	03.pct_anteiso.alkanes	16.n33.i33
iso_ACL	n33.i33	0.034573685	07.iso_ACL	16.n33.i33
n33.i33	n33.i33	1	16.n33.i33	16.n33.i33
n.alkane_CPI	n33.i33	0.112019986	01.n.alkane_CPI	16.n33.i33
Methyl_Index	n33.i33	-0.001508566	04.Methyl_Index	16.n33.i33
eps13C_n.C33	n33.i33	-0.322779298	12.eps13C_n.C33	16.n33.i33
anteiso_CPI	n33.i33	0.074866958	09.anteiso_CPI	16.n33.i33
eps13C_n.C31	n33.i33	-0.297514647	11.eps13C_n.C31	16.n33.i33
pct_iso.alkanes	n33.i33	-0.067667902	02.pct_iso.alkanes	16.n33.i33
anteiso_ACL	n33.i33	0.024150431	05.anteiso_ACL	16.n33.i33
Sum_Alk.area	n33.i33	0.051990237	10.Sum_Alk.area	16.n33.i33
n.alkane_ACL	n33.i33	0.051592138	06.n.alkane_ACL	16.n33.i33
eps13C_i.C33	n33.i33	0.027834728	14.eps13C_i.C33	16.n33.i33
eps13C_i.C31	pct_anteiso.alkanes	0.061137505	13.eps13C_i.C31	03.pct_anteiso.alkanes
n33.i33	pct_anteiso.alkanes	0.040480632	16.n33.i33	03.pct_anteiso.alkanes
eps13C_i.C33	pct_anteiso.alkanes	0.068989396	14.eps13C_i.C33	03.pct_anteiso.alkanes
pct_iso.alkanes	pct_anteiso.alkanes	0.446667165	02.pct_iso.alkanes	03.pct_anteiso.alkanes
anteiso_ACL	pct_anteiso.alkanes	-0.359951109	05.anteiso_ACL	03.pct_anteiso.alkanes
iso_ACL	pct_anteiso.alkanes	-0.469287306	07.iso_ACL	03.pct_anteiso.alkanes
eps13C_n.C31	pct_anteiso.alkanes	0.068219729	11.eps13C_n.C31	03.pct_anteiso.alkanes
n31.i31	pct_anteiso.alkanes	-0.031682305	15.n31.i31	03.pct_anteiso.alkanes
Methyl_Index	pct_anteiso.alkanes	0.892965376	04.Methyl_Index	03.pct_anteiso.alkanes
Sum_Alk.area	pct_anteiso.alkanes	-0.115523435	10.Sum_Alk.area	03.pct_anteiso.alkanes
n.alkane_ACL	pct_anteiso.alkanes	-0.272708923	06.n.alkane_ACL	03.pct_anteiso.alkanes
pct_anteiso.alkanes	pct_anteiso.alkanes	1	03.pct_anteiso.alkanes	03.pct_anteiso.alkanes
eps13C_n.C33	pct_anteiso.alkanes	0.046790294	12.eps13C_n.C33	03.pct_anteiso.alkanes
anteiso_CPI	pct_anteiso.alkanes	-0.480287373	09.anteiso_CPI	03.pct_anteiso.alkanes
iso_CPI	pct_anteiso.alkanes	0.200201973	08.iso_CPI	03.pct_anteiso.alkanes
n.alkane_CPI	pct_anteiso.alkanes	-0.449993938	01.n.alkane_CPI	03.pct_anteiso.alkanes
pct_anteiso.alkanes	pct_iso.alkanes	0.446667165	03.pct_anteiso.alkanes	02.pct_iso.alkanes
anteiso_CPI	pct_iso.alkanes	-0.251887411	09.anteiso_CPI	02.pct_iso.alkanes
Methyl_Index	pct_iso.alkanes	0.763479888	04.Methyl_Index	02.pct_iso.alkanes
iso_ACL	pct_iso.alkanes	-0.377247721	07.iso_ACL	02.pct_iso.alkanes
pct_iso.alkanes	pct_iso.alkanes	1	02.pct_iso.alkanes	02.pct_iso.alkanes
n.alkane_CPI	pct_iso.alkanes	-0.479570955	01.n.alkane_CPI	02.pct_iso.alkanes
eps13C_n.C33	pct_iso.alkanes	0.111541539	12.eps13C_n.C33	02.pct_iso.alkanes
eps13C_i.C31	pct_iso.alkanes	0.139393166	13.eps13C_i.C31	02.pct_iso.alkanes
eps13C_i.C33	pct_iso.alkanes	0.133656219	14.eps13C_i.C33	02.pct_iso.alkanes
Sum_Alk.area	pct_iso.alkanes	-0.128803208	10.Sum_Alk.area	02.pct_iso.alkanes
iso_CPI	pct_iso.alkanes	0.491742373	08.iso_CPI	02.pct_iso.alkanes
n33.i33	pct_iso.alkanes	-0.067667902	16.n33.i33	02.pct_iso.alkanes
n.alkane_ACL	pct_iso.alkanes	-0.204933107	06.n.alkane_ACL	02.pct_iso.alkanes
eps13C_n.C31	pct_iso.alkanes	0.125207111	11.eps13C_n.C31	02.pct_iso.alkanes
n31.i31	pct_iso.alkanes	-0.028194005	15.n31.i31	02.pct_iso.alkanes
anteiso_ACL	pct_iso.alkanes	-0.182718799	05.anteiso_ACL	02.pct_iso.alkanes
anteiso_CPI	Sum_Alk.area	0.344970673	09.anteiso_CPI	10.Sum_Alk.area
eps13C_i.C33	Sum_Alk.area	-0.031839453	14.eps13C_i.C33	10.Sum_Alk.area
pct_anteiso.alkanes	Sum_Alk.area	-0.115523435	03.pct_anteiso.alkanes	10.Sum_Alk.area
iso_ACL	Sum_Alk.area	-0.1006236	07.iso_ACL	10.Sum_Alk.area
n.alkane_ACL	Sum_Alk.area	-0.253223181	06.n.alkane_ACL	10.Sum_Alk.area
iso_CPI	Sum_Alk.area	0.193893477	08.iso_CPI	10.Sum_Alk.area
Methyl_Index	Sum_Alk.area	-0.129550174	04.Methyl_Index	10.Sum_Alk.area
n33.i33	Sum_Alk.area	0.051990237	16.n33.i33	10.Sum_Alk.area
n31.i31	Sum_Alk.area	0.10547065	15.n31.i31	10.Sum_Alk.area
eps13C_i.C31	Sum_Alk.area	-0.036902387	13.eps13C_i.C31	10.Sum_Alk.area
n.alkane_CPI	Sum_Alk.area	0.162535638	01.n.alkane_CPI	10.Sum_Alk.area
pct_iso.alkanes	Sum_Alk.area	-0.128803208	02.pct_iso.alkanes	10.Sum_Alk.area
eps13C_n.C33	Sum_Alk.area	-0.069154784	12.eps13C_n.C33	10.Sum_Alk.area
eps13C_n.C31	Sum_Alk.area	-0.067064285	11.eps13C_n.C31	10.Sum_Alk.area
anteiso_ACL	Sum_Alk.area	0.03402843	05.anteiso_ACL	10.Sum_Alk.area
Sum_Alk.area	Sum_Alk.area	1	10.Sum_Alk.area	10.Sum_Alk.area
