il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
IL_2.4	7.61	5.81	0.13	10.6	31.5	0.26	32.1	7.6	31.8	-14.6	-16.0	-15.4	-15.8	1.3	0.4	2.7
IL_2.5	5.18	3.60	0.09	12.8	31.8	0.32	32.3	13.0	32.3	-17.6	-19.2	-17.3	-18.8	1.6	1.5	9.2
IL_2.5	7.81	13.91	0.22	11.0	31.5	0.05	32.1	9.2	31.8	-17.1	-18.3	-17.3	-18.0	1.1	0.6	1.2
IL_2.5	7.17	7.37	0.15	13.2	31.5	0.22	32.1	14.6	31.9	-17.9	-18.4	-18.1	-18.3	0.5	0.3	5.4
IL_2.6	7.69	7.15	0.15	12.3	31.3	0.04	32.1	14.0	31.8	-17.5	-18.4	-17.6	-18.2	0.9	0.6	1.0
IL_2.6	7.91	9.43	0.17	11.2	31.3	0.12	32.1	17.1	31.8	-16.8	-18.3	-16.5	-18.0	1.6	1.5	1.7
IL_2.6	8.67	8.26	0.17	12.2	31.3	0.18	32.1	17.3	31.8	-17.4	-19.3	-16.7	-19.1	1.9	2.3	5.0
IL_2.6.5	8.94	9.29	0.18	11.6	31.3	0.23	32.1	12.4	31.8	NA	NA	NA	NA	NA	NA	4.6
IL_2.6.5	5.30	9.93	0.15	12.5	31.4	0.11	32.1	9.1	31.7	-16.3	-17.9	-16.4	-17.7	1.6	1.3	1.5
IL_3.1	7.85	8.50	0.16	12.6	31.3	0.25	32.1	11.2	31.7	-16.4	-18.1	-16.5	-17.7	1.6	1.2	10.4
IL_3.1	9.84	11.59	0.21	12.9	31.3	0.21	32.0	14.3	31.7	-15.9	-17.2	-15.4	-16.8	1.3	1.4	3.6
IL_3.1	7.22	6.37	0.14	12.5	31.3	0.09	32.1	16.6	31.7	-15.1	-16.4	-14.5	-16.0	1.3	1.4	3.7
IL_3.2	13.09	12.61	0.26	11.9	31.3	0.23	32.1	16.1	31.8	-16.6	-19.1	-17.2	-18.6	2.6	1.4	6.6
IL_3.2	9.71	14.35	0.24	11.6	31.4	0.16	32.1	12.4	31.8	-17.9	-19.6	-17.5	-19.0	1.7	1.4	2.9
